time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-02-19,8.95,24.36,29.22,48.26,17.88,23.5,56.16,9.96,7.2,9.56,3.01,8.33,40.14,34.84,43.71,74.42,3.27,9.95,6.45,11.3,11.37,6.78,38.71,62.78,4.96,92.0,128.3,69.46,9.22,29.8
2020-02-20,9.02,24.36,29.22,49.04,17.78,23.5,56.09,10.32,7.25,9.62,2.97,8.37,40.78,35.26,43.95,76.08,3.23,9.95,6.47,11.2,11.3,6.79,38.8,63.3,4.99,93.33,128.0,70.32,9.37,30.3
2020-02-21,8.6,24.64,27.82,49.99,17.12,23.16,56.23,10.14,7.22,9.72,2.89,8.19,41.67,35.13,43.71,76.55,3.18,9.95,6.45,11.2,11.2,6.75,38.71,63.37,5.04,95.82,128.4,71.12,9.45,30.7
2020-02-22,8.473333333333333,24.233333333333334,27.356666666666666,49.123333333333335,16.830000000000002,22.85,55.81333333333333,9.963333333333333,7.14,9.610000000000001,2.86,8.056666666666667,41.53666666666667,34.693333333333335,43.02,76.13666666666667,3.1633333333333336,9.95,6.303333333333334,11.049999999999999,10.943333333333333,6.6466666666666665,38.27333333333333,62.70666666666666,4.996666666666667,95.14,128.03333333333333,70.79,9.293333333333333,30.166666666666668
2020-02-23,8.346666666666668,23.826666666666668,26.893333333333334,48.25666666666667,16.54,22.54,55.39666666666666,9.786666666666667,7.0600000000000005,9.5,2.83,7.923333333333333,41.403333333333336,34.25666666666667,42.33,75.72333333333333,3.1466666666666665,9.95,6.156666666666666,10.9,10.686666666666666,6.543333333333334,37.836666666666666,62.04333333333334,4.953333333333333,94.46,127.66666666666667,70.46,9.136666666666667,29.633333333333333
2020-02-24,8.22,23.42,26.43,47.39,16.25,22.23,54.98,9.61,6.98,9.39,2.8,7.79,41.27,33.82,41.64,75.31,3.13,9.95,6.01,10.75,10.43,6.44,37.4,61.38,4.91,93.78,127.3,70.13,8.98,29.1
2020-02-25,7.98,22.49,25.68,48.26,16.25,22.02,54.32,9.43,6.9,9.35,2.8,7.69,40.3,33.66,41.47,75.01,3.23,9.95,5.86,10.7,10.09,6.27,37.32,59.69,4.82,94.13,125.2,70.13,8.78,28.8
2020-02-26,8.39,22.86,26.74,48.26,16.95,22.44,52.41,10.05,7.0,9.39,2.84,7.88,39.65,33.75,41.47,74.93,3.37,9.95,5.88,10.95,10.47,6.52,36.53,59.17,4.8,92.45,124.8,69.46,9.29,28.75
2020-02-27,8.36,23.05,26.51,47.47,17.08,23.12,51.42,10.67,7.08,9.39,2.89,7.92,39.49,33.98,41.47,73.65,3.74,9.95,5.9,11.15,10.76,6.52,36.06,58.21,4.91,92.53,122.7,68.67,9.34,28.75
2020-02-28,7.94,22.68,25.71,47.39,16.68,23.12,49.45,10.67,6.97,9.21,2.89,7.88,38.6,33.43,41.55,68.89,4.02,9.95,5.84,11.35,10.6,6.68,34.84,57.84,4.96,91.56,121.8,68.14,8.98,28.05
2020-02-29,8.103333333333333,23.116666666666667,25.7,47.446666666666665,16.77,23.14666666666667,49.513333333333335,10.613333333333333,6.986666666666666,9.203333333333333,2.9033333333333333,7.8933333333333335,38.64,33.58,41.71666666666666,68.89,4.096666666666667,9.95,5.833333333333333,11.483333333333333,10.64,6.6899999999999995,35.013333333333335,57.96333333333334,4.95,91.47,121.0,68.31666666666666,8.98,28.1
2020-03-01,8.266666666666666,23.55333333333333,25.69,47.50333333333334,16.86,23.173333333333332,49.57666666666667,10.556666666666667,7.003333333333333,9.196666666666667,2.916666666666667,7.906666666666666,38.68,33.730000000000004,41.88333333333333,68.89,4.173333333333333,9.95,5.826666666666667,11.616666666666667,10.68,6.7,35.18666666666667,58.086666666666666,4.9399999999999995,91.38000000000001,120.2,68.49333333333334,8.98,28.15
2020-03-02,8.43,23.99,25.68,47.56,16.95,23.2,49.64,10.5,7.02,9.19,2.93,7.92,38.72,33.88,42.05,68.89,4.25,9.95,5.82,11.75,10.72,6.71,35.36,58.21,4.93,91.29,119.4,68.67,8.98,28.2
2020-03-03,8.74,23.42,26.08,47.73,17.32,23.58,52.67,11.03,7.07,9.23,3.35,8.06,39.25,34.01,41.64,71.87,4.82,9.95,5.9,12.15,10.91,6.79,35.75,59.1,5.07,92.89,120.3,69.2,9.09,28.45
2020-03-04,8.74,23.05,26.2,47.82,17.35,23.24,51.22,11.03,7.09,9.25,3.74,7.98,39.37,33.47,41.55,71.44,5.05,9.95,5.88,12.1,10.76,6.79,35.23,58.14,5.04,92.0,119.9,69.13,8.9,28.1
