time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-02-06,8.29,24.83,30.88,50.78,18.75,22.69,56.56,9.87,7.68,10.43,3.1,8.52,40.42,35.29,43.29,83.08,3.65,9.95,6.54,10.95,10.89,6.84,39.53,64.11,4.91,101.96,127.9,71.85,8.55,30.95
2020-02-07,8.32,25.21,30.42,51.99,18.45,22.65,57.28,9.78,7.71,10.47,3.06,8.44,40.38,34.97,43.46,83.08,3.6,9.95,6.64,11.45,10.84,6.79,39.49,64.7,4.88,101.69,131.9,73.1,8.6,32.25
2020-02-08,8.3,25.053333333333335,30.02,51.96333333333333,18.37333333333333,22.58,57.25666666666667,9.75,7.693333333333333,10.38,3.06,8.376666666666667,40.38,34.776666666666664,43.266666666666666,83.08,3.5233333333333334,9.95,6.596666666666667,11.333333333333332,10.783333333333333,6.763333333333334,39.303333333333335,64.43,4.87,101.6,131.6,72.86,8.56,32.0
2020-02-09,8.28,24.896666666666665,29.62,51.93666666666667,18.296666666666667,22.51,57.233333333333334,9.719999999999999,7.676666666666667,10.29,3.06,8.313333333333333,40.38,34.583333333333336,43.07333333333334,83.08,3.4466666666666668,9.95,6.553333333333333,11.216666666666667,10.726666666666667,6.736666666666666,39.11666666666667,64.16,4.859999999999999,101.51,131.3,72.61999999999999,8.52,31.75
2020-02-10,8.26,24.74,29.22,51.91,18.22,22.44,57.21,9.69,7.66,10.2,3.06,8.25,40.38,34.39,42.88,83.08,3.37,9.95,6.51,11.1,10.67,6.71,38.93,63.89,4.85,101.42,131.0,72.38,8.48,31.5
2020-02-11,8.22,24.55,29.34,50.43,18.52,22.74,57.15,9.78,7.58,10.18,3.06,8.25,41.84,34.17,43.71,81.41,3.37,9.95,6.51,11.45,10.81,6.7,38.93,63.66,4.8,101.51,129.1,72.11,8.52,31.65
2020-02-12,8.88,25.21,29.56,51.56,18.98,23.16,57.02,9.78,7.66,9.99,3.01,8.48,41.03,35.0,43.95,81.78,3.46,9.95,6.58,11.8,11.13,6.75,39.06,63.89,4.91,100.8,129.2,71.45,9.0,31.85
2020-02-13,8.88,26.05,29.11,50.69,18.42,23.07,58.0,9.78,7.56,9.89,3.01,8.42,41.19,34.87,44.53,81.56,3.41,9.95,6.54,11.6,10.98,6.75,38.93,63.66,5.13,100.18,129.2,71.12,8.92,31.45
2020-02-14,9.26,25.21,28.88,50.17,18.25,23.07,58.53,10.14,7.57,9.83,3.18,8.48,40.62,34.46,44.45,82.07,3.46,9.95,6.6,11.9,11.35,6.97,39.06,65.29,5.18,100.09,129.2,71.05,9.22,32.2
2020-02-15,9.246666666666666,25.240000000000002,29.05,50.11,18.183333333333334,23.086666666666666,58.61666666666667,10.17,7.5,9.843333333333334,3.18,8.52,40.51333333333333,34.43666666666667,44.36666666666667,81.64666666666666,3.4766666666666666,9.95,6.613333333333333,11.883333333333333,11.43,6.976666666666667,39.07333333333334,65.14,5.173333333333333,99.32000000000001,129.1,71.09333333333333,9.196666666666667,32.06666666666667
